job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0560 Budget Analysis,Mid,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Oversees and manages all aspects of the financial process on behalf of a Department to ensure financial accountability,1906 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1907 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1908 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Budget,Fundamentals and Operations of Budget,Secondary,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Obtains and inputs basic data utilizing financial management systems,1813 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1814 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1815 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Budget,Fundamentals and Operations of Budget,Secondary,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Extracts, records and balances basic information from financial management systems",1816 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1817 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1818 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Budget,Fundamentals and Operations of Budget,Secondary,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Researches and organizes relevant budget information and systems using various standardized procedures,1819 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1820 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1821 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Budget,Fundamentals and Operations of Budget,Secondary,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Examines and reconciles complex transactions from budget information and systems using various standardized procedures,1822 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1823 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1824 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Budget,Fundamentals and Operations of Budget,Secondary,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Provides some analysis and makes recommendations, on exceptionally difficult information from reports, systems and accounts using various standardized procedures under strict time constraints",1966 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1967 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1968 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Accounting,"Accounting Concepts, Policies and Principles",Alternate,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Uses typical accounting and financial procedures and practices that apply to most situations,16 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 17 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 18 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Accounting,"Accounting Concepts, Policies and Principles",Alternate,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies knowledge of policies and procedures to ensure adherence to accounting and financial guidelines,19 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 20 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 21 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Accounting,"Accounting Concepts, Policies and Principles",Alternate,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Examines a variety of accounts, documents, records, related reports and processes to determine performance in accordance with appropriate procedures and regulations",220 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 221 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 222 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Accounting,"Accounting Concepts, Policies and Principles",Alternate,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Develops accounting and financial guidelines that conform to fiscal requirements, and makes recommendations for improvement or implementation of new policies",223 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 224 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 225 Third Course Name %%% Third Course Institution ||| www.cfo.gov
